Player,Year,Age,PA,OPS,HBP,EVavg,Swing%,Sprint speed,Day to Day,10-day DL,15-day DL,60-day DL,Injured
"Machado, Manny",2021,28,640,0.836,2,93.1,48.0,26.5,1.0,0.0,0.0,0.0,Yes
"Realmuto, J.T.",2021,30,537,0.782,11,89.6,49.5,28.8,6.0,0.0,0.0,1.0,Yes
"Renfroe, Hunter",2021,29,572,0.816,1,90.1,48.2,27.2,1.0,0.0,0.0,0.0,Yes
"Merrifield, Whit",2021,32,720,0.712,4,86.9,50.0,28.6,0.0,0.0,0.0,0.0,No
"Bogaerts, Xander",2021,28,603,0.863,5,89.6,45.7,27.7,3.0,0.0,0.0,0.0,Yes
"Polanco, Jorge",2021,27,644,0.826,5,89.4,49.5,27.9,1.0,0.0,0.0,0.0,Yes
"Sanó, Miguel",2021,28,532,0.778,2,93.4,44.6,26.5,0.0,0.0,0.0,0.0,No
"Duvall, Adam",2021,32,555,0.772,4,89.8,50.0,28.5,3.0,0.0,0.0,0.0,Yes
"Báez, Javier",2021,28,547,0.813,13,90.1,56.9,28.5,0.0,0.0,0.0,0.0,No
"Lindor, Francisco",2021,27,524,0.734,5,90.7,47.4,27.8,0.0,0.0,0.0,0.0,No
"Story, Trevor",2021,28,595,0.8,11,90.6,50.8,28.6,2.0,0.0,0.0,0.0,Yes
"Candelario, Jeimer",2021,27,626,0.794,4,88.7,47.6,27.2,2.0,0.0,0.0,0.0,Yes
"Bell, Josh",2021,28,568,0.823,2,92.5,46.7,26.2,1.0,0.0,0.0,0.0,Yes
"Betts, Mookie",2021,28,550,0.854,11,90.3,40.4,27.2,0.0,0.0,0.0,0.0,No
"Tapia, Raimel",2021,27,533,0.699,1,85.7,51.2,28.3,3.0,0.0,0.0,0.0,Yes
"Hernández, Teoscar",2021,28,595,0.87,7,91.8,51.8,28.5,0.0,0.0,0.0,0.0,No
"Turner, Trea",2021,28,646,0.911,6,89.6,49.2,30.6,1.0,0.0,0.0,0.0,Yes
"Ramírez, José",2021,28,636,0.893,7,90.0,43.0,28.1,0.0,0.0,0.0,0.0,No
"Gallo, Joey",2021,27,616,0.809,6,91.5,40.4,27.4,3.0,0.0,0.0,0.0,Yes
"Swanson, Dansby",2021,27,653,0.76,5,89.3,48.1,28.3,0.0,0.0,0.0,0.0,No
"Newman, Kevin",2021,27,554,0.574,1,85.3,44.9,28.4,0.0,0.0,0.0,0.0,No
"Taylor, Chris",2021,30,582,0.782,8,88.2,45.6,28.8,5.0,0.0,0.0,0.0,Yes
"Correa, Carlos",2021,26,640,0.851,4,90.2,42.1,27.0,0.0,0.0,0.0,0.0,No
"Olson, Matt",2021,27,673,0.911,9,91.6,47.0,25.9,3.0,0.0,0.0,0.0,Yes
"Alonso, Pete",2021,26,637,0.863,12,91.0,49.3,26.0,0.0,0.0,0.0,1.0,Yes
"Frazier, Adam",2021,29,639,0.779,10,85.4,47.6,27.1,0.0,0.0,0.0,0.0,No
"Soler, Jorge",2021,29,602,0.748,6,91.2,44.8,26.9,1.0,0.0,0.0,0.0,Yes
"Cronenworth, Jake",2021,27,643,0.8,10,88.6,43.2,28.5,1.0,0.0,0.0,0.0,Yes
"Meadows, Austin",2021,26,591,0.773,6,89.3,46.7,27.5,0.0,0.0,0.0,0.0,No
"Anderson, Tim",2021,28,551,0.807,1,89.6,57.8,28.2,3.0,0.0,1.0,1.0,Yes
"Crawford, J.P.",2021,26,687,0.714,5,86.3,44.2,27.5,1.0,0.0,0.0,0.0,Yes
"Dozier, Hunter",2021,29,543,0.679,7,89.9,48.8,28.2,3.0,0.0,0.0,0.0,Yes
"Mancini III, Trey",2021,29,616,0.758,8,88.9,47.0,26.5,0.0,0.0,0.0,0.0,No
"McMahon, Ryan",2021,26,596,0.78,4,90.5,48.8,26.2,3.0,0.0,0.0,0.0,Yes
"O'Neill, Tyler",2021,26,537,0.912,13,93.0,49.8,29.6,4.0,0.0,0.0,0.0,Yes
"Rosario, Amed",2021,25,588,0.73,3,88.8,48.9,29.5,1.0,0.0,0.0,0.0,Yes
"Adames, Willy",2021,25,555,0.818,0,89.5,48.9,28.0,4.0,0.0,0.0,0.0,Yes
"Benintendi, Andrew",2021,26,538,0.766,2,89.6,52.5,27.6,1.0,0.0,0.0,0.0,Yes
"Kiner-Falefa, Isiah",2021,26,677,0.669,11,85.5,46.5,28.0,0.0,0.0,0.0,0.0,No
"Albies, Ozzie",2021,24,686,0.798,3,89.6,56.8,28.4,0.0,0.0,0.0,0.0,No
"Devers, Rafael",2021,24,664,0.89,7,92.9,53.6,27.1,2.0,0.0,0.0,0.0,Yes
"Urías, Luis",2021,24,570,0.79,10,87.9,46.3,26.5,0.0,0.0,0.0,0.0,No
"Torres, Gleyber",2021,24,516,0.697,1,87.1,46.7,27.0,2.0,0.0,0.0,0.0,Yes
"Díaz, Yandy",2021,29,541,0.74,3,89.9,42.6,26.6,0.0,0.0,0.0,0.0,No
"Chapman, Matt",2021,28,622,0.717,4,89.7,44.6,28.1,3.0,0.0,0.0,0.0,Yes
"Mullins II, Cedric",2021,26,675,0.878,8,89.4,46.3,28.5,0.0,0.0,0.0,0.0,No
"Smith, Pavin",2021,25,545,0.732,4,87.2,42.1,26.5,0.0,0.0,0.0,0.0,No
"Verdugo, Alex",2021,25,604,0.777,4,90.0,44.7,27.0,4.0,0.0,0.0,0.0,Yes
"Moncada, Yoán",2021,26,616,0.787,10,90.1,42.6,27.8,0.0,0.0,0.0,0.0,No
"Ohtani, Shohei",2021,26,639,0.964,4,93.6,45.8,28.8,0.0,0.0,0.0,0.0,No
"Riley, Austin",2021,24,662,0.898,12,90.1,50.2,27.8,0.0,0.0,0.0,0.0,No
"Mountcastle, Ryan",2021,24,586,0.796,4,89.1,55.1,28.0,2.0,0.0,1.0,0.0,Yes
"Tucker, Kyle",2021,24,567,0.916,1,91.4,52.5,27.4,1.0,0.0,1.0,0.0,Yes
"India, Jonathan",2021,24,631,0.835,23,87.6,39.0,28.5,1.0,0.0,0.0,0.0,Yes
"Grisham, Trent",2021,24,527,0.74,6,88.8,40.5,28.8,0.0,0.0,0.0,0.0,No
"Lowe, Nathaniel",2021,25,642,0.772,2,90.8,44.7,27.3,0.0,0.0,0.0,0.0,No
"Happ, Ian",2021,26,535,0.757,5,89.5,43.9,27.7,0.0,0.0,0.0,1.0,Yes
"France, Ty",2021,26,650,0.813,27,88.5,50.3,25.3,0.0,0.0,0.0,0.0,No
"Lowe, Brandon",2021,26,615,0.863,9,89.3,52.5,27.6,1.0,0.0,0.0,0.0,Yes
"Fletcher, David",2021,27,665,0.621,1,82.3,46.5,27.6,1.0,0.0,0.0,0.0,Yes
"Straw, Myles",2021,26,638,0.697,2,87.1,40.4,29.3,0.0,0.0,0.0,0.0,No
"Walsh, Jared",2021,27,585,0.849,4,89.6,49.3,27.0,0.0,0.0,0.0,0.0,No
"Tatis Jr., Fernando",2021,22,546,0.975,2,93.9,51.5,29.2,0.0,0.0,0.0,0.0,No
"Guerrero Jr., Vladimir",2021,22,698,1.002,6,95.1,47.3,27.0,0.0,0.0,0.0,0.0,No
"Soto, Juan",2021,22,654,0.999,2,93.0,35.0,27.0,1.0,0.0,0.0,0.0,Yes
"Chisholm Jr., Jazz",2021,23,507,0.728,4,90.2,47.2,29.1,0.0,0.0,0.0,0.0,No
"Bichette, Bo",2021,23,690,0.827,6,91.4,57.8,28.0,2.0,0.0,0.0,0.0,Yes
"Carlson, Dylan",2021,22,619,0.78,11,88.2,45.0,27.9,1.0,0.0,0.0,0.0,Yes
"García, Adolis",2021,28,622,0.74,5,91.0,54.1,28.4,0.0,0.0,0.0,0.0,No
"Gurriel Jr., Lourdes",2021,27,541,0.785,2,89.7,50.9,26.7,0.0,0.0,0.0,0.0,No
"Arozarena, Randy",2021,26,604,0.815,14,89.9,44.2,28.7,0.0,0.0,0.0,0.0,No
"Reynolds, Bryan",2021,26,646,0.912,8,89.4,48.9,28.6,1.0,0.0,0.0,0.0,Yes
"Rojas, Josh",2021,27,550,0.752,0,88.2,42.2,27.6,0.0,0.0,0.0,1.0,Yes
"Edman, Tommy",2021,26,691,0.695,6,87.5,47.4,28.9,1.0,0.0,0.0,0.0,Yes
"Solak, Nick",2021,26,511,0.676,15,86.9,46.0,29.0,0.0,0.0,0.0,0.0,No
"Hays, Austin",2021,25,529,0.769,9,88.8,46.4,27.3,0.0,0.0,0.0,1.0,Yes
"Lopez, Nicky",2021,26,565,0.743,4,86.8,45.1,28.2,1.0,0.0,0.0,0.0,Yes
"Alvarez, Yordan",2021,24,598,0.877,8,93.2,43.1,26.4,4.0,0.0,0.0,0.0,Yes
"Cruz Jr., Nelson",2022,41,507,0.65,4,90.9,50.8,25.5,0.0,0.0,0.0,0.0,No
"Blackmon, Charlie",2022,35,577,0.733,8,86.2,51.5,27.8,0.0,0.0,0.0,0.0,No
"McCutchen, Andrew",2022,35,580,0.7,4,89.1,44.9,28.9,0.0,0.0,0.0,0.0,No
"Turner, Justin",2022,37,532,0.788,6,89.5,48.2,25.0,2.0,0.0,0.0,0.0,Yes
"Andrus, Elvis",2022,33,577,0.707,3,87.9,45.6,26.1,1.0,0.0,0.0,0.0,Yes
"Santana, Carlos",2022,36,506,0.692,2,90.7,42.6,25.7,1.0,0.0,0.0,0.0,Yes
"Gurriel, Yuli",2022,38,584,0.648,6,88.2,48.5,26.9,0.0,0.0,0.0,0.0,No
"Rojas, Miguel",2022,33,507,0.606,6,86.1,47.9,26.4,5.0,0.0,0.0,0.0,Yes
"Escobar, Eduardo",2022,33,542,0.725,1,88.3,52.4,27.9,1.0,0.0,0.0,0.0,Yes
"Pham, Tommy",2022,34,622,0.686,7,92.2,42.0,27.9,3.0,0.0,0.0,0.0,Yes
"Martinez, J.D.",2022,34,596,0.789,5,89.1,51.9,26.1,0.0,0.0,0.0,0.0,No
"Goldschmidt, Paul",2022,34,651,0.982,5,90.8,41.7,26.3,1.0,0.0,0.0,0.0,Yes
"Altuve, Jose",2022,32,604,0.92,10,85.9,44.3,28.1,2.0,0.0,1.0,0.0,Yes
"Hernández, César",2022,32,617,0.629,7,84.8,47.5,28.3,0.0,0.0,0.0,0.0,No
"Marte, Starling",2022,33,505,0.815,13,86.8,49.8,28.0,2.0,0.0,0.0,0.0,Yes
"Donaldson, Josh",2022,36,546,0.682,8,90.7,47.3,25.7,0.0,0.0,0.0,0.0,No
"Freeman, Freddie",2022,32,708,0.918,5,91.3,49.3,26.9,0.0,0.0,0.0,0.0,No
"LeMahieu, DJ",2022,33,541,0.734,4,89.2,39.5,26.4,0.0,0.0,0.0,0.0,No
"Rizzo, Anthony",2022,32,548,0.818,23,89.4,46.1,25.5,2.0,0.0,0.0,0.0,Yes
"Flores, Wilmer",2022,30,602,0.71,11,87.8,45.6,25.3,1.0,0.0,0.0,0.0,Yes
"Ozuna, Marcell",2022,31,507,0.687,2,89.4,49.4,26.6,1.0,0.0,0.0,0.0,Yes
"Aguilar, Jesús",2022,32,507,0.66,4,87.7,49.5,24.0,0.0,0.0,0.0,0.0,No
"Cron, C.J.",2022,32,632,0.783,8,88.7,47.7,25.2,3.0,0.0,0.0,0.0,Yes
"Semien, Marcus",2022,31,724,0.733,4,87.3,47.2,28.8,0.0,0.0,0.0,0.0,No
"Springer III, George",2022,32,583,0.814,7,88.7,50.9,28.3,0.0,0.0,0.0,0.0,No
"Grichuk, Randal",2022,30,538,0.724,6,90.0,50.6,28.0,3.0,0.0,0.0,0.0,Yes
"Abreu, José",2022,35,679,0.824,12,92.2,47.3,26.1,0.0,0.0,0.0,0.0,No
"Suárez, Eugenio",2022,30,629,0.791,8,89.8,41.8,25.9,0.0,0.0,0.0,0.0,No
"Urshela, Gio",2022,30,551,0.767,2,88.9,53.1,25.8,0.0,0.0,0.0,0.0,No
"Schoop, Jonathan",2022,30,510,0.561,6,87.0,55.5,27.0,0.0,0.0,0.0,0.0,No
"Arenado, Nolan",2022,31,620,0.891,7,88.8,48.4,25.5,3.0,0.0,0.0,0.0,Yes
"Farmer, Kyle",2022,31,583,0.701,16,85.5,50.3,26.7,5.0,0.0,0.0,0.0,Yes
"Muncy, Max",2022,31,565,0.713,5,90.3,38.6,27.2,0.0,0.0,0.0,0.0,No
"Pollock, AJ",2022,34,527,0.681,2,88.8,53.6,27.8,0.0,0.0,0.0,0.0,No
"Voit III, Luke",2022,31,568,0.71,7,89.8,52.0,24.7,0.0,0.0,0.0,0.0,No
"Walker, Christian",2022,31,667,0.804,8,90.0,44.7,26.6,0.0,0.0,0.0,0.0,No
"Yastrzemski, Mike",2022,31,558,0.697,5,89.9,42.9,27.0,1.0,0.0,0.0,1.0,Yes
"Canha, Mark",2022,33,542,0.77,28,87.7,42.9,27.5,0.0,0.0,0.0,0.0,No
"Castellanos, Nick",2022,30,558,0.694,3,87.5,57.0,27.7,0.0,0.0,0.0,0.0,No
"Drury, Brandon",2022,29,568,0.812,8,89.1,45.9,27.0,1.0,0.0,0.0,0.0,Yes
"Judge, Aaron",2022,30,696,1.111,6,95.9,42.7,27.3,1.0,0.0,0.0,0.0,Yes
"Machado, Manny",2022,29,644,0.897,1,91.5,50.8,26.4,2.0,0.0,0.0,0.0,Yes
"Realmuto, J.T.",2022,31,562,0.82,12,90.3,49.0,28.7,0.0,0.0,0.0,0.0,No
"Renfroe, Hunter",2022,30,522,0.807,4,90.5,47.8,27.1,0.0,0.0,0.0,0.0,No
"Yelich, Christian",2022,30,671,0.738,5,91.5,43.2,28.1,0.0,0.0,0.0,0.0,No
"Merrifield, Whit",2022,33,550,0.673,0,87.1,50.9,28.6,0.0,0.0,0.0,0.0,No
"Bogaerts, Xander",2022,29,631,0.833,10,88.1,45.7,27.9,2.0,0.0,0.0,0.0,Yes
"Profar, Jurickson",2022,29,658,0.722,4,87.5,43.6,26.6,0.0,0.0,0.0,0.0,No
"Báez, Javier",2022,29,590,0.671,6,87.9,55.8,27.9,0.0,0.0,0.0,0.0,No
"Lindor, Francisco",2022,28,706,0.788,10,89.3,47.8,27.6,1.0,0.0,0.0,0.0,Yes
"Bell, Josh",2022,29,647,0.784,5,88.9,45.3,26.2,1.0,0.0,0.0,0.0,Yes
"Betts, Mookie",2022,29,639,0.873,8,90.5,44.2,27.4,0.0,0.0,0.0,0.0,No
"Hernández, Teoscar",2022,29,535,0.807,2,92.6,48.8,28.6,0.0,0.0,0.0,0.0,No
"Marte, Ketel",2022,28,558,0.728,6,90.1,46.1,27.0,3.0,0.0,0.0,0.0,Yes
"Nimmo, Brandon",2022,29,673,0.8,16,89.4,43.8,28.6,2.0,0.0,0.0,0.0,Yes
"Turner, Trea",2022,29,708,0.809,3,88.9,51.2,30.3,0.0,0.0,0.0,0.0,No
"Ramírez, José",2022,29,685,0.869,6,87.7,46.3,28.5,0.0,0.0,0.0,0.0,No
"Bregman, Alex",2022,28,656,0.82,11,88.9,40.3,26.6,0.0,0.0,0.0,0.0,No
"Seager, Corey",2022,28,663,0.772,7,91.1,54.5,26.2,2.0,0.0,0.0,0.0,Yes
"Winker, Jesse",2022,28,547,0.688,4,87.7,43.3,25.6,4.0,0.0,0.0,0.0,Yes
"Swanson, Dansby",2022,28,696,0.776,3,90.2,49.4,28.4,0.0,0.0,0.0,0.0,No
"Correa, Carlos",2022,27,590,0.833,3,89.9,44.4,27.1,1.0,0.0,0.0,1.0,Yes
"Ward, Taylor",2022,28,564,0.833,4,90.0,41.4,28.4,2.0,0.0,0.0,0.0,Yes
"Wisdom, Patrick",2022,30,534,0.724,9,90.7,48.1,27.8,1.0,0.0,0.0,0.0,Yes
"Olson, Matt",2022,28,699,0.802,4,92.9,49.5,26.3,0.0,0.0,0.0,0.0,No
"Mateo, Jorge",2022,27,533,0.646,5,86.8,53.9,30.1,1.0,0.0,0.0,0.0,Yes
"Santander, Anthony",2022,27,647,0.773,13,90.1,47.7,26.6,0.0,0.0,0.0,0.0,No
"Alonso, Pete",2022,27,685,0.87,12,89.8,49.9,25.7,1.0,0.0,0.0,0.0,Yes
"Frazier, Adam",2022,30,602,0.612,5,85.1,48.7,26.8,0.0,0.0,0.0,0.0,No
"Cronenworth, Jake",2022,28,684,0.722,16,87.6,41.8,28.2,0.0,0.0,0.0,0.0,No
"Bellinger, Cody",2022,26,550,0.654,2,89.4,49.9,28.1,2.0,0.0,0.0,0.0,Yes
"Crawford, J.P.",2022,27,603,0.675,10,85.1,41.3,26.9,5.0,0.0,0.0,0.0,Yes
"Mancini III, Trey",2022,30,587,0.71,10,89.5,48.1,25.6,0.0,0.0,0.0,0.0,No
"McMahon, Ryan",2022,27,597,0.741,5,91.7,45.2,25.8,0.0,0.0,0.0,0.0,No
"Tellez, Rowdy",2022,27,599,0.767,5,91.1,43.5,24.0,0.0,0.0,0.0,0.0,No
"Rosario, Amed",2022,26,670,0.715,4,88.4,53.1,29.4,1.0,0.0,0.0,0.0,Yes
"Adames, Willy",2022,26,617,0.756,1,88.9,49.6,27.8,0.0,0.0,0.0,0.0,No
"Estrada, Thairo",2022,26,541,0.722,14,86.2,49.2,28.2,0.0,0.0,0.0,0.0,No
"Benintendi, Andrew",2022,27,521,0.772,2,89.2,48.2,27.6,1.0,0.0,0.0,0.0,Yes
"Kemp, Tony",2022,30,558,0.641,8,84.4,48.9,26.3,0.0,0.0,0.0,0.0,No
"Kiner-Falefa, Isiah",2022,27,531,0.641,5,86.2,44.7,28.4,2.0,0.0,0.0,0.0,Yes
"McNeil, Jeff",2022,30,589,0.836,11,86.9,53.8,27.4,1.0,0.0,0.0,0.0,Yes
"Devers, Rafael",2022,25,614,0.879,6,93.1,54.6,25.6,2.0,0.0,0.0,0.0,Yes
"Arraez, Luis",2022,25,603,0.795,3,88.9,42.9,26.9,2.0,0.0,1.0,0.0,Yes
"Torres, Gleyber",2022,25,572,0.761,3,90.4,49.6,26.9,2.0,0.0,0.0,0.0,Yes
"Díaz, Yandy",2022,30,558,0.824,6,92.2,41.3,27.1,0.0,0.0,0.0,0.0,No
"Rengifo, Luis",2022,25,511,0.723,4,86.9,55.7,27.9,0.0,0.0,0.0,0.0,No
"Chapman, Matt",2022,29,621,0.757,10,92.2,41.7,28.4,2.0,0.0,0.0,0.0,Yes
"Hoskins, Rhys",2022,29,672,0.794,6,90.1,41.9,25.9,1.0,0.0,0.0,0.0,Yes
"Mullins II, Cedric",2022,27,672,0.721,9,88.8,51.3,28.5,0.0,0.0,0.0,0.0,No
"Schwarber, Kyle",2022,29,669,0.827,4,93.3,40.6,26.4,0.0,0.0,0.0,0.0,No
"Thomas, Lane",2022,26,548,0.705,4,86.4,44.1,29.4,0.0,0.0,0.0,0.0,No
"Verdugo, Alex",2022,26,644,0.733,3,89.1,45.3,26.8,3.0,0.0,0.0,0.0,Yes
"Ohtani, Shohei",2022,27,666,0.875,5,92.9,49.3,28.2,0.0,0.0,0.0,0.0,No
"Acuña Jr., Ronald",2022,24,533,0.764,10,91.2,47.9,28.5,0.0,0.0,0.0,0.0,No
"Varsho, Daulton",2022,25,592,0.745,7,87.7,50.6,28.0,2.0,0.0,0.0,0.0,Yes
"Hoerner, Nico",2022,25,517,0.737,6,87.2,49.2,29.1,0.0,1.0,0.0,1.0,Yes
"Riley, Austin",2022,25,693,0.877,17,92.5,51.5,27.8,0.0,0.0,0.0,0.0,No
"Mountcastle, Ryan",2022,25,609,0.728,4,91.3,56.2,27.5,3.0,0.0,1.0,0.0,Yes
"Hayes, Ke'Bryan",2022,25,560,0.659,5,91.0,43.3,27.9,4.0,0.0,0.0,0.0,Yes
"Tucker, Kyle",2022,25,609,0.808,1,90.0,52.7,26.7,2.0,0.0,0.0,0.0,Yes
"Grisham, Trent",2022,25,524,0.625,7,88.3,38.7,28.8,0.0,0.0,0.0,0.0,No
"Rodgers, Brendan",2022,25,581,0.733,3,90.0,49.4,26.7,2.0,0.0,0.0,0.0,Yes
"Lowe, Nathaniel",2022,26,645,0.85,4,90.2,52.2,27.1,0.0,0.0,0.0,0.0,No
"Happ, Ian",2022,27,641,0.782,6,89.7,49.0,27.9,1.0,0.0,0.0,0.0,Yes
"France, Ty",2022,27,613,0.774,21,87.6,52.5,24.8,1.0,0.0,0.0,0.0,Yes
"Straw, Myles",2022,27,596,0.564,1,87.0,40.5,29.3,0.0,0.0,0.0,0.0,No
"Bohm, Alec",2022,25,631,0.713,4,90.2,51.2,27.0,1.0,0.0,0.0,0.0,Yes
"Brown, Seth",2022,29,555,0.749,3,89.2,48.3,27.8,0.0,0.0,0.0,0.0,No
"Peña, Jeremy",2022,24,558,0.715,6,88.1,55.2,29.4,0.0,0.0,0.0,0.0,No
"Guerrero Jr., Vladimir",2022,23,706,0.819,6,92.8,49.7,26.7,0.0,0.0,0.0,0.0,No
"Soto, Juan",2022,23,664,0.853,4,91.0,35.5,26.6,2.0,0.0,0.0,0.0,Yes
"Giménez, Andrés",2022,23,557,0.837,25,87.8,53.7,29.3,0.0,0.0,0.0,0.0,No
"Bichette, Bo",2022,24,697,0.802,2,91.9,55.9,27.5,1.0,0.0,0.0,0.0,Yes
"García, Adolis",2022,29,657,0.756,6,92.1,53.5,27.9,0.0,0.0,0.0,0.0,No
"Arozarena, Randy",2022,27,645,0.772,11,89.9,46.1,28.8,1.0,0.0,0.0,0.0,Yes
"Reynolds, Bryan",2022,27,614,0.806,14,90.2,50.4,28.2,0.0,0.0,0.0,0.0,No
"Rojas, Josh",2022,28,510,0.74,2,88.8,41.0,27.3,1.0,0.0,0.0,0.0,Yes
"Melendez Jr., MJ",2022,23,534,0.706,1,90.7,44.6,27.8,0.0,0.0,0.0,0.0,No
"Murphy, Sean",2022,27,612,0.758,13,88.7,49.3,26.1,0.0,0.0,0.0,0.0,No
"Edman, Tommy",2022,27,630,0.724,5,88.6,47.0,28.7,1.0,0.0,0.0,0.0,Yes
"Smith, Will",2022,27,578,0.808,10,89.9,42.6,27.5,2.0,0.0,0.0,0.0,Yes
"Hays, Austin",2022,26,582,0.719,10,87.7,51.0,27.8,4.0,0.0,0.0,0.0,Yes
"Alvarez, Yordan",2022,25,561,1.019,6,95.2,42.7,26.6,5.0,0.0,0.0,1.0,Yes
"Kirk, Alejandro",2022,23,541,0.787,4,90.5,41.0,24.2,1.0,0.0,0.0,0.0,Yes
"Kim, Ha-Seong",2022,26,582,0.708,7,86.7,43.3,28.4,0.0,0.0,0.0,0.0,No
"Rodríguez, Julio",2022,21,560,0.854,8,92.0,50.2,29.7,0.0,0.0,0.0,0.0,No
"Witt Jr., Bobby",2022,22,632,0.722,6,89.7,51.8,30.3,0.0,0.0,0.0,0.0,No
"Kwan, Steven",2022,24,638,0.773,7,85.1,38.1,28.4,2.0,0.0,0.0,0.0,Yes
"Vaughn, Andrew",2022,24,555,0.75,9,90.8,47.0,26.2,1.0,0.0,0.0,1.0,Yes
